City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Fall,Snow Fall
0,Atasu,KZ,2020-04-20 00:18:16,48.68,71.64,52.68,41,43,5.08,scattered clouds,0.0,0.0
1,Dolinsk,RU,2020-04-20 00:18:16,47.35,142.8,46.4,49,100,11.18,overcast clouds,0.0,0.0
2,Albany,US,2020-04-20 00:18:16,42.6,-73.97,57.0,47,90,4.0,light rain,0.22,0.0
3,Araceli,PH,2020-04-20 00:18:16,10.55,119.99,84.33,79,59,17.18,light rain,1.85,0.0
4,Tazovskiy,RU,2020-04-20 00:18:17,67.47,78.7,34.27,98,100,9.42,light rain,0.26,0.0
5,Hermanus,ZA,2020-04-20 00:18:17,-34.42,19.23,61.0,94,38,1.99,scattered clouds,0.0,0.0
6,Mataura,NZ,2020-04-20 00:14:53,-46.19,168.86,55.99,65,72,5.01,broken clouds,0.0,0.0
7,Tuktoyaktuk,CA,2020-04-20 00:18:19,69.45,-133.04,10.4,85,90,10.29,light snow,0.0,0.0
8,Manicore,BR,2020-04-20 00:18:19,-5.81,-61.3,80.6,88,75,4.7,thunderstorm,0.0,0.0
9,Mattru,SL,2020-04-20 00:18:19,7.62,-11.83,78.15,86,100,2.51,light rain,0.16,0.0
10,Atar,MR,2020-04-20 00:18:19,20.52,-13.05,71.76,20,0,8.34,clear sky,0.0,0.0
11,Havelock,US,2020-04-20 00:14:24,34.88,-76.9,68.0,89,100,1.99,light rain,0.5,0.0
12,Luchegorsk,RU,2020-04-20 00:18:20,46.48,134.26,50.14,47,100,11.9,overcast clouds,0.0,0.0
13,Nicoya,CR,2020-04-20 00:15:02,10.15,-85.45,91.4,43,20,11.41,few clouds,0.0,0.0
14,Nikki,BJ,2020-04-20 00:18:20,9.94,3.21,79.23,64,100,11.83,light rain,0.34,0.0
15,San Patricio,MX,2020-04-20 00:18:20,19.22,-104.7,75.2,78,5,23.04,clear sky,0.0,0.0
16,Murdochville,CA,2020-04-20 00:18:21,48.96,-65.5,30.33,82,39,5.99,scattered clouds,0.0,0.0
17,Faanui,PF,2020-04-20 00:18:21,-16.48,-151.75,82.83,75,60,15.23,light rain,0.37,0.0
18,Cherskiy,RU,2020-04-20 00:18:21,68.75,161.3,9.03,93,100,7.92,light snow,0.0,0.16
19,Guerrero Negro,MX,2020-04-20 00:04:18,27.98,-114.06,64.09,68,93,21.43,overcast clouds,0.0,0.0
