City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Manicore,BR,80.6,thunderstorm,-5.81,-61.3,Pousada da wanda
San Patricio,MX,75.2,clear sky,19.22,-104.7,Hotel Cabo Blanco
Salalah,OM,82.4,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
Tumpat,MY,80.6,few clouds,6.2,102.17,"Senangin Resort , Pantai Sri Tujuh, Tumpat Kelantan"
Padang,ID,78.73,few clouds,-0.95,100.35,Mercure Padang
Yenagoa,NG,75.58,overcast clouds,4.92,6.26,Amba Hotels Limited
Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Rikitea,PF,77.07,overcast clouds,-23.12,-134.97,Pension Maro'i
Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
Hilo,US,82.4,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Mareeba,AU,88.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
Auki,SB,84.72,broken clouds,-8.77,160.7,Auki Motel
Awbari,LY,82.09,scattered clouds,26.59,12.78,فندق أوباري
Spring Hill,US,86.0,scattered clouds,28.48,-82.53,Room of The world By traveline Plus
Beihai,CN,75.4,scattered clouds,21.48,109.1,21 Degree Hostel
Atuona,PF,82.89,scattered clouds,-9.8,-139.03,Villa Enata
Machilipatnam,IN,78.22,few clouds,16.17,81.13,RK Family Restaurant
Yulara,AU,80.6,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
East London,ZA,76.21,clear sky,-33.02,27.91,Tu Casa
Kavieng,PG,83.79,broken clouds,-2.57,150.8,Nusa Island Retreat
Cayenne,GF,78.8,mist,4.93,-52.33,Hôtel Le Dronmi
Victoria,HK,78.01,overcast clouds,22.29,114.16,Mini Hotel Central
Ojinaga,MX,86.0,clear sky,29.57,-104.42,Suites Las Palmas
Caravelas,BR,76.08,broken clouds,-17.71,-39.25,Pousada dos Navegantes
Bandarbeyla,SO,81.73,broken clouds,9.49,50.81,REER XOOSHLE GROUP
Flic En Flac,MU,75.2,scattered clouds,-20.27,57.36,Hilton Mauritius Resort & Spa
Tierranueva,MX,87.13,scattered clouds,21.68,-100.57,Hotel La Gaviota
Labuhan,ID,81.0,overcast clouds,-6.88,112.21,bador sepret
Saint-Philippe,RE,75.2,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
Ratnagiri,IN,83.71,broken clouds,16.98,73.3,Hotel Landmark
Eyl,SO,83.3,broken clouds,7.98,49.82,Amiin Hotel
Gouyave,GD,80.6,few clouds,12.16,-61.73,Rumboat Retreat
Marawi,PH,77.86,broken clouds,8.0,124.29,Derogongan Residence
Isla Mujeres,MX,82.4,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
Grand Gaube,MU,75.2,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Tibiri,NE,80.31,clear sky,13.56,7.05,
Shenzhen,CN,80.01,overcast clouds,22.55,114.07,Shun Hing Square
Pandan,PH,81.75,overcast clouds,14.05,124.17,Bonifacio Lodge
Trincomalee,LK,81.09,few clouds,8.57,81.23,Welcombe Hotel
Kinshasa,CD,78.8,scattered clouds,-4.32,15.32,Kabinda Center
Galesong,ID,77.0,few clouds,-5.32,119.37,Sapriadi Appy
Pucallpa,PE,75.6,clear sky,-8.38,-74.55,Manish Hotel Ecológico
Bosaso,SO,83.1,overcast clouds,11.28,49.18,Red Sea Hotel
Cabo San Lucas,MX,77.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Ladario,BR,76.78,broken clouds,-19.0,-57.6,Hotel Fazenda 4 cantos
Shahabad,IN,76.21,few clouds,27.65,79.95,डाक बंगला
Bilma,NE,84.18,scattered clouds,18.69,12.92,Expeditions Ténére voyages
Maunabo,PR,79.0,few clouds,18.01,-65.9,Maunacaribe
Hambantota,LK,81.68,broken clouds,6.12,81.12,Bungalow 63
Bata,GQ,77.0,scattered clouds,1.86,9.77,Hotel Carmen
Natal,BR,78.8,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
Katghora,IN,78.17,broken clouds,22.5,82.55,Deppak bhojanalay new bus stand
Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
Ndele,CF,80.29,overcast clouds,8.41,20.65,
Sumenep,ID,82.38,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
Lazaro Cardenas,MX,80.53,scattered clouds,17.96,-102.2,Hotel Quinta Antigua
Bintulu,MY,80.6,broken clouds,3.17,113.03,900 Boutique INN
Diamantino,BR,75.29,few clouds,-14.41,-56.45,Hotel Delta
Zabid,YE,86.45,overcast clouds,14.2,43.32,دار الضيافة
Kudahuvadhoo,MV,85.15,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
Cockburn Town,TC,79.18,clear sky,21.46,-71.14,Osprey Beach Hotel
Sawakin,SD,77.45,broken clouds,19.11,37.33,فندق الدويم
Bela,IN,79.54,broken clouds,25.93,81.98,Siddharth Hotel
Sola,VU,89.6,scattered clouds,-13.88,167.55,Leumerus Bungalows
Puri,IN,79.29,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
Bengkulu,ID,78.13,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
Dhidhdhoo,MV,86.45,scattered clouds,6.88,73.1,Dhidhoo beach
Uvalde,US,89.6,clear sky,29.37,-99.77,
Sur,OM,83.8,clear sky,22.57,59.53,Sur Plaza Hotel
Alice Springs,AU,87.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
Kapoeta,SS,75.02,overcast clouds,4.77,33.59,Eastgate Hotel
Ambon,ID,84.2,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
Qinzhou,CN,76.82,broken clouds,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
Sabang,ID,83.1,scattered clouds,5.89,95.32,Hotel Citra
Isangel,VU,82.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
San Francisco Del Mar,MX,84.7,few clouds,16.23,-94.65,
Tomohon,ID,80.6,few clouds,1.33,124.84,Gardenia Country Inn
Touros,BR,77.0,few clouds,-5.2,-35.46,INN NEW HORIZON
Kavaratti,IN,85.08,scattered clouds,10.57,72.64,Bismillah Hotel And Lodging
Saint Augustine,US,82.4,scattered clouds,29.89,-81.31,Best Western Spanish Quarters Inn
Merauke,ID,85.15,scattered clouds,-8.47,140.33,
San Andres,CO,82.4,few clouds,12.58,-81.7,Hotel Arena Blanca
Nisia Floresta,BR,78.8,few clouds,-6.09,-35.21,Rancho Crepusculo
Bubaque,GW,77.02,broken clouds,11.28,-15.83,Casa Dora
Massaguet,TD,86.0,broken clouds,12.48,15.44,Alwatane
Yaring,TH,82.04,scattered clouds,6.87,101.37,My Home Pokku
Meulaboh,ID,78.84,broken clouds,4.14,96.13,Kost Pria
Manokwari,ID,84.11,scattered clouds,-0.87,134.08,Swiss Belhotel Manokwari
Coahuayana,MX,82.4,clear sky,18.73,-103.68,Hotel Los Arcos
Mount Isa,AU,82.4,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
Abonnema,NG,77.04,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
Boa Vista,BR,87.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
Karratha,AU,83.82,overcast clouds,-20.74,116.85,ibis Styles Karratha
Gao,ML,88.36,scattered clouds,16.64,1.64,
Santa Maria Del Oro,MX,81.46,scattered clouds,25.93,-105.37,Hotel Palacio Del Sol
Cozumel,MX,84.2,scattered clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
Banjar,ID,82.4,few clouds,-8.19,114.97,The Hamsa Resort
Mancheral,IN,80.31,clear sky,18.87,79.43,Hotel Vaibhav
Porto Velho,BR,77.0,few clouds,-8.76,-63.9,Ecos Hotel Conforto
Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
Oussouye,SN,77.0,broken clouds,12.48,-16.55,Auberge du Routard
