City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-04-18 23:06:02,-46.19,168.86,53.01,74,80,8.01
1,Fomboni,KM,2020-04-18 23:06:03,-12.28,43.74,82.76,72,75,10.85
2,Nouakchott,MR,2020-04-18 23:02:02,18.09,-15.98,66.2,88,0,14.99
3,Houma,US,2020-04-18 23:06:03,29.6,-90.72,72.0,94,40,5.75
4,Albany,US,2020-04-18 23:02:35,42.6,-73.97,46.0,55,76,11.52
5,East London,ZA,2020-04-18 23:05:42,-33.02,27.91,69.89,66,0,18.19
6,Tiksi,RU,2020-04-18 23:05:59,71.69,128.87,10.29,85,68,3.94
7,Hermanus,ZA,2020-04-18 23:06:04,-34.42,19.23,64.0,60,78,1.01
8,Nikolskoye,RU,2020-04-18 23:06:04,59.7,30.79,37.4,92,90,11.18
9,New Norfolk,AU,2020-04-18 23:02:30,-42.78,147.06,50.0,85,79,2.19
10,Chuy,UY,2020-04-18 22:57:29,-33.7,-53.46,64.35,86,10,9.82
11,Fantan,AM,2020-04-18 23:06:05,40.39,44.68,55.4,50,99,5.82
12,Codrington,AU,2020-04-18 23:04:25,-38.27,141.97,56.52,72,53,10.31
13,Souillac,MU,2020-04-18 23:02:46,-20.52,57.52,78.01,78,75,12.75
14,Verkhnyaya Toyma,RU,2020-04-18 23:06:05,62.23,45.0,27.7,97,19,2.82
15,Arraial Do Cabo,BR,2020-04-18 22:56:53,-22.97,-42.03,74.16,71,97,8.01
16,Ancud,CL,2020-04-18 23:02:57,-41.87,-73.82,55.4,93,40,8.05
17,Qaanaaq,GL,2020-04-18 23:03:16,77.48,-69.36,21.69,88,100,19.26
18,Longonjo,AO,2020-04-18 23:04:05,-12.91,15.25,61.81,57,97,2.89
19,Nanortalik,GL,2020-04-18 22:53:42,60.14,-45.24,28.76,92,89,5.21
20,Jamestown,US,2020-04-18 23:00:26,42.1,-79.24,46.0,41,1,13.87
21,Bluff,NZ,2020-04-18 23:00:11,-46.6,168.33,53.01,74,100,8.01
22,Ribeira Grande,PT,2020-04-18 22:56:37,38.52,-28.7,61.86,85,100,15.57
23,Santa Maria,BR,2020-04-18 23:05:02,-29.68,-53.81,66.2,68,0,6.93
24,Lebu,CL,2020-04-18 22:55:13,-37.62,-73.65,54.84,91,51,2.13
25,Khromtau,KZ,2020-04-18 23:06:08,50.25,58.43,41.36,67,96,0.92
26,Avera,US,2020-04-18 22:54:53,33.19,-82.53,75.2,27,1,10.29
27,Leninsk,RU,2020-04-18 23:06:08,48.71,45.2,37.4,69,62,6.71
28,Naze,JP,2020-04-18 23:06:08,28.37,129.48,71.6,78,75,9.17
29,Puerto Ayora,EC,2020-04-18 22:56:29,-0.74,-90.35,84.2,70,40,10.29
30,Flinders,AU,2020-04-18 23:03:28,-34.58,150.86,59.0,76,49,1.99
31,Voznesenskoye,RU,2020-04-18 23:06:09,54.89,42.76,32.79,90,74,5.08
32,Port Alfred,ZA,2020-04-18 23:02:37,-33.59,26.89,63.0,90,0,5.01
33,Roald,NO,2020-04-18 23:06:09,62.58,6.13,41.0,86,7,10.29
34,Yarada,IN,2020-04-18 23:06:10,17.65,83.27,80.85,80,0,11.34
35,Along,IN,2020-04-18 23:06:10,28.17,94.77,65.39,68,69,2.89
36,Mabaruma,GY,2020-04-18 23:06:10,8.2,-59.78,77.05,86,30,7.25
37,Dwarka,IN,2020-04-18 23:01:52,22.24,68.97,79.92,82,22,12.93
38,Polunochnoye,RU,2020-04-18 22:58:10,60.87,60.42,32.41,88,96,6.08
39,Cape Town,ZA,2020-04-18 23:00:05,-33.93,18.42,63.0,63,85,2.24
40,Clyde River,CA,2020-04-18 22:57:10,70.47,-68.59,8.6,84,90,6.93
41,Hilo,US,2020-04-18 22:52:54,19.73,-155.09,82.4,54,20,12.75
42,Rikitea,PF,2020-04-18 23:00:12,-23.12,-134.97,77.41,70,42,5.93
43,Petatlan,MX,2020-04-18 23:06:12,17.52,-101.27,87.8,55,5,9.17
44,Constitucion,CL,2020-04-18 22:57:55,-35.33,-72.42,59.74,91,76,10.0
45,Belyy Yar,RU,2020-04-18 23:06:12,53.6,91.39,37.4,64,0,6.71
46,Vardo,NO,2020-04-18 23:03:00,70.37,31.11,36.64,81,90,18.32
47,Alamos,MX,2020-04-18 23:06:12,27.02,-108.93,84.99,28,14,8.01
48,Kapaa,US,2020-04-18 22:56:29,22.08,-159.32,80.6,65,1,5.82
49,Maniitsoq,GL,2020-04-18 23:06:13,65.42,-52.9,26.06,94,100,21.68
50,Koumac,NC,2020-04-18 23:06:13,-20.57,164.28,81.21,62,45,4.32
51,Tilichiki,RU,2020-04-18 22:57:18,60.47,166.1,10.78,91,0,10.83
52,Caravelas,BR,2020-04-18 23:06:13,-17.71,-39.25,76.51,78,93,17.25
53,Cabo San Lucas,MX,2020-04-18 22:57:05,22.89,-109.91,78.01,56,5,11.41
54,Avarua,CK,2020-04-18 23:02:06,-21.21,-159.78,80.6,69,70,5.82
55,Mar Del Plata,AR,2020-04-18 22:52:36,-38.0,-57.56,69.01,64,24,9.17
56,Pevek,RU,2020-04-18 22:55:34,69.7,170.31,3.22,91,30,7.29
57,Chumikan,RU,2020-04-18 23:06:15,54.72,135.31,21.02,94,100,12.17
58,Ushuaia,AR,2020-04-18 23:00:50,-54.8,-68.3,48.2,57,40,3.91
59,Iqaluit,CA,2020-04-18 23:02:55,63.75,-68.51,5.0,71,20,5.82
60,Kathmandu,NP,2020-04-18 23:06:15,27.72,85.32,55.4,93,20,4.7
61,Punta Arenas,CL,2020-04-18 22:56:41,-53.15,-70.92,50.0,57,40,14.99
62,Hithadhoo,MV,2020-04-18 22:56:32,-0.6,73.08,83.93,73,79,11.03
63,Butaritari,KI,2020-04-18 22:56:29,3.07,172.79,83.34,77,88,17.34
64,Kabare,CD,2020-04-18 23:06:16,-2.47,28.82,60.82,60,100,1.54
65,Cap Malheureux,MU,2020-04-18 23:06:17,-19.98,57.61,78.01,78,75,12.75
66,San Cristobal,VE,2020-04-18 23:03:44,7.77,-72.22,87.8,45,40,10.29
67,Zheleznodorozhnyy,RU,2020-04-18 23:06:17,55.75,38.0,35.6,88,72,4.47
68,Kloulklubed,PW,2020-04-18 23:06:17,7.04,134.26,80.6,88,75,6.93
69,Novyy Urengoy,RU,2020-04-18 23:06:17,66.08,76.63,36.66,97,100,16.37
70,Siniscola,IT,2020-04-18 23:06:18,40.57,9.69,58.39,86,97,3.31
71,Moerai,PF,2020-04-18 23:06:18,-22.43,-151.33,81.19,73,35,6.42
72,Taoudenni,ML,2020-04-18 23:06:18,22.68,-3.98,77.72,53,30,15.19
73,Bandarbeyla,SO,2020-04-18 23:02:00,9.49,50.81,80.62,73,43,8.03
74,Kolpashevo,RU,2020-04-18 23:06:19,58.31,82.91,38.14,79,84,9.62
75,Sao Joao Da Barra,BR,2020-04-18 23:03:40,-21.64,-41.05,71.83,82,100,7.25
76,Kindu,CD,2020-04-18 23:02:53,-2.95,25.95,70.59,77,95,2.15
77,Egvekinot,RU,2020-04-18 22:57:23,66.32,-179.17,8.58,89,100,20.69
78,Khatanga,RU,2020-04-18 22:57:09,71.97,102.5,14.76,94,0,4.16
79,Keningau,MY,2020-04-18 23:06:20,5.34,116.16,75.2,94,20,6.93
80,Manzini,SZ,2020-04-18 23:06:20,-26.25,31.5,68.0,100,88,5.82
81,Anloga,GH,2020-04-18 23:06:20,5.79,0.9,84.2,83,20,6.93
82,Coquimbo,CL,2020-04-18 22:56:36,-29.95,-71.34,60.8,82,20,10.29
83,Dingle,PH,2020-04-18 22:54:56,11.0,122.67,83.3,71,13,11.9
84,Thompson,CA,2020-04-18 22:56:58,55.74,-97.86,17.6,44,20,18.34
85,Kodiak,US,2020-04-18 22:54:23,57.79,-152.41,46.4,75,20,13.87
86,Mangan,IN,2020-04-18 23:06:21,27.52,88.53,64.42,36,96,3.4
87,Shunyi,CN,2020-04-18 23:06:21,40.12,116.65,68.0,54,92,4.47
88,Palana,RU,2020-04-18 23:04:06,59.12,159.97,25.7,94,100,15.12
89,Lavrentiya,RU,2020-04-18 23:02:54,65.58,-171.0,20.88,95,100,9.64
90,Broome,US,2020-04-18 23:03:39,42.25,-75.83,43.0,51,75,11.41
91,Pitimbu,BR,2020-04-18 22:55:31,-7.47,-34.81,80.6,88,20,5.61
92,San Andres,CO,2020-04-18 22:58:30,12.58,-81.7,86.0,66,20,8.05
93,Atuona,PF,2020-04-18 22:56:30,-9.8,-139.03,82.0,75,95,17.6
94,Severodvinsk,RU,2020-04-18 23:06:24,64.56,39.83,35.6,98,40,6.71
95,Vila,PT,2020-04-18 23:03:57,42.03,-8.16,50.0,93,20,3.36
96,Chokurdakh,RU,2020-04-18 22:54:26,70.63,147.92,0.03,89,100,10.31
97,Kuantan,MY,2020-04-18 23:06:24,3.81,103.33,77.0,94,20,2.24
98,Airai,TL,2020-04-18 22:57:22,-8.93,125.41,68.59,48,59,3.67
99,Hay River,CA,2020-04-18 23:03:38,60.82,-115.8,42.8,52,75,6.93
100,Christchurch,NZ,2020-04-18 23:05:56,-43.53,172.63,64.0,44,1,10.29
101,Zyryanka,RU,2020-04-18 23:06:25,65.75,150.85,4.35,92,100,21.5
102,Harwich,GB,2020-04-18 23:06:25,51.94,1.28,48.0,85,41,9.15
103,Pedernales,DO,2020-04-18 23:06:26,18.04,-71.74,79.14,70,29,4.29
104,Djambala,CG,2020-04-18 23:02:05,-2.54,14.75,69.67,75,100,4.36
105,Mahebourg,MU,2020-04-18 23:00:19,-20.41,57.7,78.01,78,75,12.75
106,Yellowknife,CA,2020-04-18 22:56:31,62.46,-114.35,24.8,92,90,12.75
107,Norman Wells,CA,2020-04-18 22:56:52,65.28,-126.83,37.4,93,90,14.99
108,Narsaq,GL,2020-04-18 22:59:40,60.92,-46.05,30.2,50,93,1.12
109,Torbay,CA,2020-04-18 23:04:04,47.67,-52.73,34.0,50,20,11.41
110,Henties Bay,NA,2020-04-18 23:06:27,-22.12,14.28,55.99,95,0,4.18
111,Kahului,US,2020-04-18 22:58:06,20.89,-156.47,84.2,51,20,18.34
112,Ponta Do Sol,PT,2020-04-18 23:00:15,32.67,-17.1,59.0,57,7,5.01
113,Irving,US,2020-04-18 23:03:16,32.81,-96.95,69.8,49,90,11.41
114,Hobart,AU,2020-04-18 23:01:36,-42.88,147.33,51.01,81,75,8.05
115,Puerto Escondido,MX,2020-04-18 23:03:43,15.85,-97.07,86.0,74,40,8.05
116,Kruisfontein,ZA,2020-04-18 23:02:57,-34.0,24.73,65.39,36,0,6.62
117,Quang Ngai,VN,2020-04-18 23:04:28,15.12,108.8,77.94,84,49,8.08
118,Itarema,BR,2020-04-18 23:06:29,-2.92,-39.92,77.56,83,31,1.52
119,Kozluk,TR,2020-04-18 23:06:29,38.19,41.49,51.8,93,20,3.36
120,Busselton,AU,2020-04-18 22:55:26,-33.65,115.33,61.0,97,95,22.03
121,Salalah,OM,2020-04-18 23:01:48,17.02,54.09,82.4,69,40,4.7
122,Dikson,RU,2020-04-18 22:56:48,73.51,80.55,35.65,87,100,20.71
123,Port Elizabeth,ZA,2020-04-18 22:57:11,-33.92,25.57,62.6,93,0,2.24
124,Berlevag,NO,2020-04-18 23:00:23,70.86,29.09,34.47,87,70,10.25
125,Castro,BR,2020-04-18 23:00:14,-24.79,-50.01,56.71,69,47,6.08
126,Provideniya,RU,2020-04-18 22:56:04,64.38,-173.3,23.2,96,100,13.89
127,Awbari,LY,2020-04-18 23:06:31,26.59,12.78,77.16,22,2,14.07
128,Montepuez,MZ,2020-04-18 23:06:31,-13.13,39.0,67.35,85,24,7.56
129,Longyearbyen,SJ,2020-04-18 22:54:57,78.22,15.64,28.4,86,20,2.24
130,Steinbach,DE,2020-04-18 23:06:28,50.17,8.57,64.0,82,38,8.05
131,Trinidad,BO,2020-04-18 22:58:12,-14.83,-64.9,78.8,57,0,4.7
132,Nemuro,JP,2020-04-18 23:06:32,43.32,145.57,40.03,79,100,9.22
133,Qunduz,AF,2020-04-18 23:06:32,36.73,68.86,57.63,47,73,1.99
134,Rocha,UY,2020-04-18 22:55:04,-34.48,-54.33,60.55,93,0,6.98
135,Bredasdorp,ZA,2020-04-18 22:54:20,-34.53,20.04,59.0,93,55,2.84
136,Pucallpa,PE,2020-04-18 23:06:33,-8.38,-74.55,72.34,63,36,1.01
137,Luderitz,NA,2020-04-18 23:00:13,-26.65,15.16,57.2,100,4,5.82
138,Gallup,US,2020-04-18 23:04:38,35.53,-108.74,60.8,14,1,19.46
139,Barrow,US,2020-04-18 23:01:37,71.29,-156.79,5.0,71,1,13.87
140,Esperance,AU,2020-04-18 22:54:39,-33.87,121.9,59.0,93,100,14.99
141,Alofi,NU,2020-04-18 22:53:43,-19.06,-169.92,82.4,74,51,14.99
142,Saldanha,ZA,2020-04-18 22:56:47,-33.01,17.94,66.2,48,96,4.7
143,Tomar,PT,2020-04-18 23:06:35,39.6,-8.41,55.99,93,28,6.02
144,Kaitangata,NZ,2020-04-18 23:04:09,-46.28,169.85,59.0,61,82,5.99
145,Siilinjarvi,FI,2020-04-18 23:06:35,63.08,27.67,35.6,69,9,11.41
146,Pondicherry,IN,2020-04-18 23:06:36,11.93,79.83,81.59,82,25,6.98
147,Pisco,PE,2020-04-18 22:58:14,-13.7,-76.22,73.4,69,17,17.22
148,Vila Velha,BR,2020-04-18 22:55:19,-20.33,-40.29,75.2,73,75,9.17
149,Port Lincoln,AU,2020-04-18 23:06:36,-34.73,135.87,62.51,63,63,16.31
150,Porbandar,IN,2020-04-18 23:06:36,21.64,69.61,79.11,76,29,13.27
151,Manjakandriana,MG,2020-04-18 23:06:37,-18.92,47.8,62.6,88,75,4.7
152,Tuktoyaktuk,CA,2020-04-18 22:57:40,69.45,-133.04,10.4,78,75,9.17
153,Kavaratti,IN,2020-04-18 23:02:48,10.57,72.64,83.97,73,3,6.67
154,Santo Domingo,DO,2020-04-18 23:05:28,18.5,-69.99,82.0,93,14,3.76
155,Guilin,CN,2020-04-18 23:06:38,25.28,110.29,68.0,100,75,2.24
156,Geraldton,AU,2020-04-18 22:57:33,-28.77,114.6,66.0,88,97,2.24
157,Dalbandin,PK,2020-04-18 23:06:38,28.89,64.41,70.9,25,46,4.83
158,Sitka,US,2020-04-18 22:57:21,57.05,-135.33,48.2,81,40,4.7
159,Korla,CN,2020-04-18 23:06:38,41.76,86.15,57.97,36,99,9.57
160,San Quintin,MX,2020-04-18 23:04:13,30.48,-115.95,62.28,67,0,19.28
161,Anchorage,US,2020-04-18 22:52:27,61.22,-149.9,50.0,66,90,5.82
162,Akureyri,IS,2020-04-18 23:04:12,65.68,-18.09,44.6,75,75,33.33
